# Constructed from biom file
#OTU ID	SGPV1001	SGPV1003	SGPV1005	SGPV1007	SGPV1008	SGPV1009	SGPV1010	SGPV1011	SGPV1012	SGPV1013	SGPV1015	SGPV1018	SGPV1019	SGPV1020	SGPV1021	SGPV1022	SGPV1023	SGPV1024	SGPV1027	SGPV1029	SGPV1030	SGPV1031	SGPV1032	SGPV1033	SGPV1034	SGPV1035	SGPV1036	SGPV1037	SGPV1038	SGPV1039	SGPV1040	SGPV1041	SGPV1042	SGPV1043	SGPV1044	SGPV1045	SGPV1046	SGPV1047	SGPV1048	SGPV1049	SGPV1050	SGPV1051	SGPV1052	SGPV1053	SGPV1054	SGPV1055	SGPV1056	SGPV1057	SGPV1058	SGPV1059	SGPV1060	SGPV1061	SGPV1062	SGPV1065	SGPV1066	SGPV1067	SGPV1068	SGPV1069	SGPV1070	SGPV1071	SGPV1072	SGPV1073	SGPV1074	SGPV1075	SGPV1076	SGPV1077	SGPV1078	SGPV1079	SGPV1080	SGPV1081	SGPV1083	SGPV1084	SGPV1085	SGPV1086	SGPV1087	SGPV1088	SGPV1089	SGPV1090	SGPV1091	SGPV1092	SGPV1093	SGPV1094	SGPV1095	SGPV1096	SGPV1097	SGPV1099	SGPV1101	SGPV1102	SGPV1103	SGPV1104	SGPV1105	SGPV1106	SGPV1107	SGPV1108	SGPV1109	SGPV1110	SGPV1111	SGPV1112	SGPV1113	SGPV1114	SGPV1115	SGPV1116	SGPV1117	SGPV1118	SGPV1119	SGPV1120	SGPV2001	SGPV2002	SGPV2003	SGPV2004	SGPV2005	SGPV2006	SGPV2007	SGPV2008	SGPV2009	SGPV2010	SGPV2011	SGPV2012	SGPV2013	SGPV2014	SGPV2015	SGPV2016	SGPV2017	SGPV2018	SGPV2019	SGPV2020	SGPV2021	SGPV2022	SGPV2023	SGPV2024	SGPV2025	SGPV2026	SGPV2027	SGPV2028	SGPV2029	SGPV2030	SGPV2031	SGPV2032	SGPV2033	SGPV2034	SGPV2035	SGPV2036	SGPV2037	SGPV2038	SGPV2039	SGPV2040	SGPV2041	SGPV2042	SGPV2043	SGPV2044	SGPV2045	SGPV2046	SGPV2047	SGPV2048	SGPV2049	SGPV2050	SGPV2051	SGPV2052	SGPV2053	SGPV2054	SGPV2055	SGPV2056	SGPV2057	SGPV2058	SGPV2059	SGPV2060	SGPV2063	SGPV2066	SGPV2068	SGPV2069	SGPV2070	SGPV2071	SGPV2072	SGPV2073	SGPV2074	SGPV2075	SGPV2076	SGPV2077	SGPV2078	SGPV2079	SGPV2080	SGPV2081	SGPV2082	SGPV2083	SGPV2084	SGPV2085	SGPV2086	SGPV2087	SGPV2088	SGPV2089	SGPV2090	SGPV2091	SGPV2092	SGPV2093	SGPV2094	SGPV2095	SGPV2096	SGPV2097	SGPV2098	SGPV2099	SGPV2100	SGPV2101
101637aba474a6614786486ad42acb11	194.0	85.0	353.0	136.0	14.0	55.0	375.0	112.0	35.0	27.0	42.0	46.0	68.0	47.0	212.0	209.0	106.0	88.0	55.0	137.0	20.0	19.0	37.0	8.0	39.0	273.0	18.0	80.0	76.0	24.0	48.0	28.0	183.0	144.0	38.0	48.0	95.0	7.0	22.0	143.0	52.0	22.0	130.0	26.0	57.0	59.0	20.0	15.0	108.0	2.0	43.0	57.0	21.0	604.0	183.0	201.0	65.0	24.0	89.0	106.0	271.0	16.0	14.0	339.0	25.0	105.0	168.0	184.0	194.0	30.0	57.0	53.0	11.0	8.0	37.0	146.0	85.0	19.0	16.0	34.0	5.0	4.0	74.0	148.0	226.0	10.0	58.0	37.0	39.0	9.0	14.0	21.0	36.0	11.0	55.0	20.0	88.0	182.0	16.0	118.0	264.0	77.0	276.0	62.0	57.0	7.0	159.0	145.0	257.0	201.0	231.0	688.0	7.0	31.0	71.0	57.0	38.0	170.0	108.0	87.0	33.0	11.0	303.0	73.0	46.0	291.0	208.0	39.0	59.0	540.0	76.0	48.0	130.0	59.0	291.0	111.0	72.0	200.0	80.0	87.0	72.0	537.0	139.0	60.0	147.0	66.0	215.0	79.0	106.0	54.0	279.0	189.0	113.0	44.0	84.0	39.0	258.0	30.0	6.0	23.0	24.0	23.0	58.0	91.0	460.0	36.0	4.0	291.0	266.0	22.0	54.0	92.0	62.0	180.0	22.0	6.0	1.0	235.0	73.0	12.0	43.0	10.0	78.0	66.0	102.0	33.0	15.0	36.0	194.0	55.0	51.0	60.0	48.0	2.0	38.0	24.0	74.0	16.0	194.0	29.0	127.0	48.0
d6403e5b4389d1c8f2e1c218c0a59134	70.0	30.0	21.0	17.0	0.0	12.0	150.0	0.0	40.0	3.0	0.0	16.0	15.0	129.0	15.0	55.0	24.0	52.0	9.0	11.0	6.0	6.0	19.0	45.0	3.0	14.0	104.0	67.0	31.0	0.0	70.0	0.0	45.0	38.0	4.0	8.0	14.0	11.0	7.0	48.0	28.0	76.0	42.0	19.0	20.0	22.0	4.0	1.0	0.0	81.0	0.0	81.0	9.0	1.0	204.0	211.0	34.0	43.0	48.0	64.0	29.0	3.0	2.0	15.0	11.0	23.0	64.0	55.0	9.0	49.0	126.0	7.0	15.0	8.0	0.0	0.0	98.0	35.0	33.0	43.0	4.0	0.0	1.0	6.0	18.0	0.0	58.0	27.0	198.0	3.0	35.0	6.0	5.0	1.0	34.0	240.0	38.0	72.0	0.0	121.0	17.0	9.0	43.0	115.0	49.0	37.0	20.0	42.0	75.0	6.0	93.0	23.0	4.0	1.0	128.0	101.0	362.0	42.0	84.0	25.0	0.0	31.0	17.0	7.0	3.0	48.0	232.0	5.0	25.0	19.0	5.0	113.0	55.0	7.0	57.0	4.0	33.0	14.0	19.0	2.0	0.0	19.0	20.0	5.0	25.0	27.0	14.0	58.0	37.0	10.0	19.0	46.0	45.0	23.0	0.0	46.0	18.0	13.0	3.0	11.0	2.0	40.0	21.0	40.0	25.0	39.0	9.0	4.0	16.0	3.0	37.0	61.0	11.0	25.0	8.0	5.0	0.0	11.0	16.0	0.0	0.0	27.0	0.0	2.0	42.0	2.0	25.0	8.0	5.0	4.0	36.0	25.0	107.0	1.0	2.0	71.0	29.0	3.0	33.0	62.0	70.0	31.0
adaee256a34ff7012e77d1a26d82b874	188.0	22.0	64.0	11.0	10.0	2.0	136.0	12.0	6.0	0.0	16.0	16.0	14.0	9.0	81.0	227.0	2.0	10.0	2.0	3.0	2.0	0.0	10.0	0.0	0.0	67.0	15.0	0.0	8.0	566.0	0.0	0.0	194.0	201.0	2.0	0.0	0.0	1.0	146.0	39.0	4.0	6.0	39.0	0.0	8.0	2.0	44.0	1.0	133.0	0.0	10.0	3.0	6.0	181.0	42.0	56.0	2.0	58.0	59.0	9.0	99.0	0.0	4.0	14.0	0.0	26.0	9.0	9.0	0.0	25.0	2.0	400.0	20.0	0.0	16.0	387.0	81.0	27.0	35.0	1.0	42.0	42.0	26.0	77.0	70.0	1.0	0.0	10.0	0.0	152.0	31.0	6.0	1.0	26.0	1.0	21.0	26.0	18.0	1.0	13.0	373.0	8.0	321.0	28.0	24.0	1.0	19.0	27.0	51.0	61.0	148.0	33.0	0.0	0.0	38.0	2.0	184.0	14.0	2.0	551.0	3.0	1.0	9.0	567.0	178.0	57.0	0.0	73.0	0.0	40.0	15.0	0.0	2.0	3.0	49.0	0.0	7.0	91.0	2.0	58.0	6.0	6.0	261.0	3.0	25.0	60.0	7.0	4.0	7.0	0.0	251.0	129.0	11.0	0.0	4.0	77.0	86.0	2.0	1.0	0.0	228.0	7.0	5.0	11.0	66.0	0.0	0.0	238.0	3.0	0.0	1.0	2.0	0.0	14.0	0.0	0.0	28.0	6.0	10.0	5.0	39.0	6.0	630.0	2.0	20.0	1.0	0.0	0.0	102.0	9.0	0.0	9.0	3.0	0.0	12.0	4.0	25.0	0.0	53.0	0.0	1.0	50.0
c533a557f90737bbc8bccbbc981a8c63	30.0	49.0	7.0	0.0	0.0	18.0	39.0	34.0	0.0	0.0	23.0	9.0	0.0	0.0	24.0	74.0	0.0	6.0	6.0	29.0	7.0	1.0	0.0	3.0	3.0	5.0	51.0	26.0	14.0	0.0	26.0	4.0	26.0	34.0	0.0	0.0	4.0	0.0	26.0	15.0	17.0	112.0	77.0	3.0	12.0	11.0	0.0	0.0	26.0	0.0	2.0	65.0	3.0	17.0	8.0	2.0	21.0	30.0	12.0	2.0	121.0	0.0	0.0	50.0	1.0	25.0	73.0	69.0	29.0	16.0	7.0	11.0	29.0	15.0	0.0	114.0	0.0	2.0	9.0	7.0	0.0	0.0	0.0	53.0	22.0	0.0	2.0	10.0	30.0	2.0	32.0	0.0	0.0	0.0	2.0	3.0	0.0	142.0	0.0	17.0	0.0	14.0	25.0	12.0	18.0	3.0	3.0	40.0	10.0	27.0	62.0	0.0	0.0	0.0	39.0	21.0	0.0	28.0	25.0	10.0	5.0	17.0	24.0	6.0	8.0	27.0	7.0	10.0	15.0	58.0	3.0	38.0	28.0	6.0	60.0	26.0	7.0	7.0	4.0	0.0	0.0	7.0	151.0	0.0	59.0	6.0	91.0	27.0	31.0	2.0	11.0	60.0	58.0	13.0	27.0	23.0	7.0	5.0	4.0	4.0	8.0	3.0	3.0	87.0	83.0	10.0	6.0	64.0	8.0	0.0	12.0	31.0	7.0	19.0	0.0	33.0	0.0	34.0	19.0	0.0	0.0	9.0	111.0	17.0	39.0	9.0	4.0	0.0	53.0	2.0	2.0	9.0	1.0	1.0	3.0	5.0	33.0	0.0	92.0	20.0	42.0	2.0
e3c9c2a072b1dd41a3d26f812f5c5f0e	15.0	15.0	0.0	0.0	0.0	10.0	0.0	15.0	0.0	0.0	31.0	6.0	10.0	12.0	0.0	28.0	0.0	3.0	0.0	0.0	4.0	4.0	7.0	45.0	0.0	33.0	2.0	7.0	23.0	0.0	14.0	0.0	7.0	16.0	6.0	0.0	0.0	0.0	13.0	42.0	21.0	5.0	32.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	2.0	13.0	0.0	6.0	0.0	10.0	38.0	0.0	22.0	0.0	0.0	1.0	0.0	9.0	1.0	6.0	0.0	0.0	0.0	0.0	13.0	0.0	16.0	0.0	115.0	2.0	21.0	0.0	0.0	0.0	0.0	16.0	0.0	9.0	0.0	4.0	0.0	3.0	30.0	0.0	37.0	16.0	0.0	25.0	1.0	1.0	42.0	0.0	0.0	0.0	47.0	73.0	0.0	42.0	13.0	7.0	0.0	17.0	1.0	15.0	0.0	2.0	67.0	0.0	2.0	21.0	5.0	4.0	25.0	0.0	38.0	3.0	11.0	14.0	50.0	1.0	0.0	0.0	0.0	0.0	75.0	0.0	3.0	8.0	5.0	2.0	11.0	3.0	8.0	42.0	0.0	6.0	11.0	9.0	5.0	0.0	26.0	106.0	6.0	4.0	0.0	0.0	2.0	5.0	0.0	1.0	0.0	3.0	0.0	9.0	0.0	6.0	0.0	0.0	1.0	5.0	0.0	30.0	0.0	3.0	6.0	0.0	4.0	4.0	0.0	5.0	2.0	9.0	12.0	2.0	3.0	0.0	6.0	1.0	2.0	0.0	49.0	14.0
cdd078c137569698cc9948d206648f1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	29.0	17.0	0.0	0.0	3.0	0.0	3.0	165.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35fd41579b5eec27ec14c400c586c480	1.0	13.0	0.0	9.0	3.0	3.0	0.0	0.0	10.0	0.0	12.0	2.0	0.0	46.0	0.0	0.0	1.0	7.0	83.0	17.0	26.0	17.0	18.0	12.0	22.0	6.0	19.0	0.0	13.0	0.0	0.0	3.0	45.0	45.0	11.0	12.0	0.0	38.0	0.0	14.0	7.0	1.0	6.0	10.0	10.0	9.0	0.0	21.0	0.0	20.0	8.0	0.0	20.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	9.0	25.0	16.0	6.0	6.0	0.0	1.0	34.0	9.0	0.0	0.0	15.0	17.0	2.0	0.0	2.0	15.0	21.0	7.0	145.0	9.0	1.0	2.0	0.0	30.0	30.0	25.0	2.0	19.0	4.0	11.0	14.0	0.0	38.0	58.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	27.0	32.0	45.0	0.0	18.0	21.0	4.0	8.0	0.0	17.0	5.0	4.0	7.0	1.0	3.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	6.0	12.0	10.0	1.0	4.0	9.0	14.0	6.0	0.0	27.0	8.0	0.0	0.0	101.0	3.0	1.0	0.0	24.0	11.0	18.0	2.0	0.0	2.0	4.0	5.0	3.0	4.0	6.0	62.0	2.0	0.0	4.0	11.0	0.0	2.0	40.0	2.0	0.0	21.0	61.0	0.0	29.0	42.0	12.0	2.0	2.0	15.0	14.0	5.0	8.0	0.0	1.0	0.0	18.0	12.0	9.0	27.0	13.0	2.0	0.0	20.0	2.0	1.0	20.0	1.0	63.0	84.0	0.0	0.0	10.0	4.0	20.0
4246d6359de249fbc08244b60beb8271	0.0	4.0	0.0	0.0	30.0	38.0	0.0	5.0	22.0	5.0	46.0	2.0	9.0	0.0	2.0	0.0	25.0	0.0	122.0	34.0	33.0	35.0	0.0	0.0	24.0	0.0	0.0	6.0	27.0	0.0	0.0	1.0	0.0	0.0	36.0	69.0	3.0	82.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	29.0	8.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	51.0	44.0	52.0	0.0	0.0	0.0	1.0	0.0	84.0	21.0	1.0	0.0	34.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	1.0	2.0	10.0	2.0	25.0	0.0	1.0	1.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	60.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0	66.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	35.0	6.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	2.0	7.0	0.0	0.0	17.0	9.0	27.0	0.0	11.0	55.0	9.0	0.0	16.0	0.0	13.0	13.0	1.0	2.0	10.0	0.0	3.0	26.0	3.0	1.0	0.0	0.0	0.0	5.0	11.0	63.0	6.0	0.0	0.0	0.0	17.0	0.0	17.0
74e59572346f076883e68f7ac94238ff	0.0	0.0	3.0	0.0	4.0	6.0	0.0	0.0	28.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	18.0	3.0	0.0	0.0	0.0	6.0	4.0	18.0	0.0	9.0	21.0	5.0	0.0	1.0	16.0	0.0	0.0	10.0	6.0	36.0	4.0	16.0	7.0	20.0	10.0	21.0	14.0	3.0	0.0	0.0	24.0	0.0	2.0	8.0	29.0	0.0	0.0	9.0	6.0	4.0	0.0	9.0	0.0	0.0	13.0	0.0	2.0	8.0	20.0	29.0	14.0	13.0	0.0	20.0	0.0	24.0	31.0	12.0	0.0	0.0	30.0	23.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	10.0	35.0	15.0	0.0	5.0	15.0	2.0	4.0	12.0	0.0	3.0	0.0	3.0	0.0	0.0	34.0	0.0	0.0	16.0	1.0	28.0	20.0	1.0	15.0	0.0	0.0	0.0	12.0	7.0	5.0	0.0	1.0	49.0	0.0	3.0	35.0	11.0	0.0	3.0	0.0	2.0	3.0	15.0	1.0	28.0	17.0	5.0	69.0	0.0	7.0	0.0	0.0	32.0	12.0	6.0	2.0	0.0	13.0	0.0	21.0	13.0	0.0	28.0	7.0	0.0	8.0	4.0	3.0	40.0	0.0	0.0	16.0	3.0	25.0	0.0	4.0	18.0	40.0	2.0	16.0	3.0	1.0	0.0	15.0	13.0	0.0	4.0	0.0	15.0	61.0	0.0	3.0	0.0	26.0	48.0	6.0	0.0	0.0	11.0	18.0	3.0	2.0	7.0	34.0	27.0	16.0	2.0	1.0	14.0	9.0	7.0	9.0	5.0	9.0	5.0	5.0
22c9eac57511b268c3eb3ae0ef01dea2	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	20.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	51.0	26.0	74.0	73.0	32.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	14.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	70.0	0.0	2.0	13.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	25.0	6.0	0.0	0.0	39.0	0.0	1.0	5.0	0.0	0.0
